company_name,cin,csr_total,csr_total_rank
RELIANCE INDUSTRIES LTD.,L17110MH1973PLC019786,433.5856,1
OIL & NATURAL GAS CORPN. LTD.,L74899DL1993GOI054155,299.31601,2
TATA CONSULTANCY SERVICES LTD.,L22210MH1995PLC084781,198.129,3
N T P C LTD.,L40101DL1975GOI007966,185.5228,4
INFOSYS LTD.,L85110KA1981PLC013115,160.5229,5
I T C LTD.,L16005WB1910PLC001985,157.81689,6
H D F C BANK LTD.,L65920MH1994PLC080618,150.6525,7
TATA STEEL LTD.,L27100MH1907PLC000260,122.8842,8
N M D C LTD.,L13100AP1958GOI001674,111.5162,9
I C I C I BANK LTD.,L65190GJ1994PLC021012,104.4545,10
WIPRO LTD.,L32102KA1945PLC020800,102.053,11
AXIS BANK LTD.,L65110GJ1993PLC020769,81.343803,12
BHARAT PETROLEUM CORPN. LTD.,L23220MH1952GOI008931,81.307098,13
STATE BANK OF INDIA,NA,74.047798,14
POWER GRID CORPN. OF INDIA LTD.,L40101DL1989GOI038121,71.505798,15
INDIAN OIL CORPN. LTD.,L23201MH1959GOI011388,68.656799,16
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,L70100MH1977PLC019916,67.711601,17
OIL INDIA LTD.,L11101AS1959GOI001148,67.012299,18
HINDUSTAN ZINC LTD.,L27204RJ1966PLC001208,62.365601,19
HINDUSTAN UNILEVER LTD.,L15140MH1933PLC002030,59.615601,20
LARSEN & TOUBRO LTD.,L99999MH1946PLC004768,58.201302,21
HINDUSTAN PETROLEUM CORPN. LTD.,L23201MH1952GOI008858,56.6875,22
R E C LTD.,L40101DL1969GOI005095,53.8545,23
MAHANADI COALFIELDS LTD.,U10102OR1992GOI003038,52.820599,24
G A I L (INDIA) LTD.,L40200DL1984GOI018976,52.3997,25
POWER FINANCE CORPN. LTD.,L65910DL1986GOI024862,51.9515,26
MAHINDRA & MAHINDRA LTD.,L65990MH1945PLC004558,51.253799,27
MARUTI SUZUKI INDIA LTD.,L34103DL1981PLC011375,50.476799,28
BAJAJ AUTO LTD.,L65993PN2007PLC130076,49.675598,29
SOUTH EASTERN COALFIELDS LTD.,U10102CT1985GOI003161,46.369701,30
CENTRAL COALFIELDS LTD.,U10200JH1956GOI000581,44.007801,31
HINDUSTAN AERONAUTICS LTD.,L35301KA1963GOI001622,43.057598,32
BHARAT HEAVY ELECTRICALS LTD.,L74899DL1964GOI004281,41.492699,33
COAL INDIA LTD.,L23109WB1973GOI028844,38.0518,34
TECH MAHINDRA LTD.,L64200MH1986PLC041370,35.9785,35
BHARTI AIRTEL LTD.,L74899DL1995PLC070609,33.633598,36
HERO MOTOCORP LTD.,L35911DL1984PLC017354,32.482399,37
JAI CORP LTD.,L17120MH1985PLC036500,32.438702,38
ULTRATECH CEMENT LTD.,L26940MH2000PLC128420,32.263199,39
N H P C LTD.,L40101HR1975GOI032564,32.252602,40
AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,30.167801,41
J S W STEEL LTD.,L27102MH1994PLC152925,29.2759,42
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,27.8794,43
N L C INDIA LTD.,L93090TN1956GOI003507,23.6054,44
NUCLEAR POWER CORPN. OF INDIA LTD.,U40104MH1987GOI149458,23.3587,45
SIEGWERK INDIA PVT. LTD.,U74999DL1997PTC084706,23.0285,46
ASIAN PAINTS LTD.,L24220MH1945PLC004598,22.5924,47
STEEL AUTHORITY OF INDIA LTD.,L27109DL1973GOI006454,22.504601,48
H C L TECHNOLOGIES LTD.,L74140DL1991PLC046369,22.4081,49
DR. REDDY'S LABORATORIES LTD.,L85195TG1984PLC004507,22.3368,50
INDUS TOWERS LTD.,U92100HR2007PLC073822,22.074301,51
INDIABULLS HOUSING FINANCE LTD.,L65922DL2005PLC136029,21.3703,52
YES BANK LTD.,L65190MH2003PLC143249,20.1926,53
S J V N LTD.,L40101HP1988GOI008409,19.8428,54
HINDALCO INDUSTRIES LTD.,L27020MH1958PLC011238,19.3701,55
NATIONAL ALUMINIUM CO. LTD.,L27203OR1981GOI000920,17.4184,56
NORTHERN COALFIELDS LTD.,U10102MP1985GOI003160,17.3575,57
MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,L65921MH1991PLC059642,17.120501,58
RELIANCE INFRASTRUCTURE LTD.,L75100MH1929PLC001530,16.776899,59
SAMSUNG INDIA ELECTRONICS PVT. LTD.,U31900DL1995PTC071387,16.4939,60
PIRAMAL ENTERPRISES LTD.,L24110MH1947PLC005719,16.1189,61
JINDAL STEEL & POWER LTD.,L27105HR1979PLC009913,15.5688,62
A C C LTD.,L26940MH1936PLC002515,15.2401,63
M M FORGINGS LTD.,L51102TN1946PLC001473,15.2338,64
BOSCH LTD.,L85110KA1951PLC000761,15.217,65
INDUSIND BANK LTD.,L65191PN1994PLC076333,15.1618,66
TATA POWER CO. LTD.,L28920MH1919PLC000567,15.0492,67
BAJAJ FINANCE LTD.,L65910MH1987PLC042961,14.5048,68
CIPLA LTD.,L24239MH1935PLC002380,14.4436,69
ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,14.426,70
VEDANTA LTD.,L13209MH1965PLC291394,14.3039,71
CONTAINER CORPN. OF INDIA LTD.,L63011DL1988GOI030915,13.9337,72
ORACLE FINANCIAL SERVICES SOFTWARE LTD.,L72200MH1989PLC053666,13.9056,73
BANK OF AMERICA N A,F00689,13.4242,74
TORRENT PHARMACEUTICALS LTD.,L24230GJ1972PLC002126,13.3657,75
TATA MOTORS LTD.,L28920MH1945PLC004520,13.2829,76
NUMALIGARH REFINERY LTD.,U11202AS1993GOI003893,12.9538,77
WESTERN COALFIELDS LTD.,U10100MH1975GOI018626,12.4903,78
SHREE CEMENT LTD.,L26943RJ1979PLC001935,12.2994,79
GRASIM INDUSTRIES LTD.,L17124MP1947PLC000410,12.25,80
BHARTI INFRATEL LTD.,L64201HR2006PLC073821,11.7458,81
DABUR INDIA LTD.,L24230DL1975PLC007908,11.7017,82
VODAFONE IDEA LTD.,L32100GJ1996PLC030976,11.4304,83
LUPIN LTD.,L24100MH1983PLC029442,11.3941,84
I D F C LTD.,L65191TN1997PLC037415,11.2485,85
TITAN COMPANY LTD.,L74999TZ1984PLC001456,11.2169,86
RUNGTA MINES LTD.,U26911WB1962PLC025691,11.1634,87
ODISHA MINING CORPN. LTD.,U13100OR1956SGC000313,11.0674,88
KOTAK MAHINDRA BANK LTD.,L65110MH1985PLC038137,11.0542,89
CADILA HEALTHCARE LTD.,L24230GJ1995PLC025878,10.9163,90
PEE VEE TEXTILES LTD.,U17110MH1986PLC039177,10.6835,91
PUNJAB NATIONAL BANK,NA,10.6267,92
GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,L24231PB1958PLC002257,10.4471,93
RANE BRAKE LINING LTD.,L63011TN2004PLC054948,10.3592,94
U P L LTD.,L24219GJ1985PLC025132,10.1654,95
GODREJ CONSUMER PRODUCTS LTD.,L24246MH2000PLC129806,10.1584,96
AUROBINDO PHARMA LTD.,L24239TG1986PLC015190,10.1135,97
GLENMARK PHARMACEUTICALS LTD.,L24299MH1977PLC019982,10.0998,98
PIDILITE INDUSTRIES LTD.,L24100MH1969PLC014336,10.0507,99
J S W ENERGY LTD.,L74999MH1994PLC077041,10.0068,100